Omega RDXL6SD-USB Serial No. 0102-01540 - Sampled Data
Date:,2020-04-09

Time,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Resistance 5,Resistance 6,
,,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,mV,mV,mV,mV,Ω,Ω,
2020-04-09 19:30:29,35, 235.5, 224.5, 230.4, 215.3,High,High,  84.9,  86.1,  86.9,  87.1,3.4512,3.4084,3.5437,3.1392,High,High,
2020-04-09 19:32:29,36, 239.1, 228.0, 233.2, 218.0,High,High,  85.2,  86.2,  87.0,  87.5,3.5278,3.4938,3.6135,3.2086,High,High,
2020-04-09 19:34:29,37, 242.4, 231.4, 236.2, 221.0,High,High,  85.3,  86.3,  87.2,  87.5,3.6009,3.5806,3.6885,3.2839,High,High,
2020-04-09 19:36:29,38, 245.9, 235.3, 239.1, 224.5,High,High,  85.5,  86.4,  87.2,  87.6,3.6803,3.6822,3.7661,3.3698,High,High,
2020-04-09 19:38:29,39, 249.7, 239.5, 242.3, 227.4,High,High,  85.4,  86.4,  87.3,  87.8,3.7629,3.7906,3.8476,3.4445,High,High,
2020-04-09 19:40:29,40, 253.2, 242.3, 245.2, 230.0,High,High,  85.5,  86.4,  87.3,  87.7,3.8401,3.8700,3.9256,3.5152,High,High,
2020-04-09 19:42:29,41, 256.7, 246.1, 248.7, 233.2,High,High,  85.5,  86.6,  87.4,  87.8,3.9181,3.9712,4.0200,3.5964,High,High,
2020-04-09 19:44:29,42, 260.4, 254.1, 251.1, 236.1,High,High,  85.4,  86.5,  87.3,  87.7,4.0044,4.1839,4.0854,3.6748,High,High,
2020-04-09 19:46:29,43, 263.9, 257.4, 254.4, 239.4,High,High,  85.3,  86.4,  87.2,  87.8,4.0863,4.2735,4.1750,3.7596,High,High,
2020-04-09 19:48:29,44, 267.4, 260.6, 258.1, 242.3,High,High,  85.3,  86.3,  87.2,  87.7,4.1685,4.3625,4.2743,3.8411,High,High,
2020-04-09 19:50:29,45, 270.9, 263.4, 260.1, 245.0,High,High,  85.2,  86.4,  87.2,  87.7,4.2488,4.4393,4.3266,3.9137,High,High,
